# Tranco list_id V3JQN, created_on 2026-08-01T22:00:02Z, 30-day dowdall over crux+farsight+majestic+radar+umbrella
# source: https://tranco-list.eu/download/V3JQN/1000000  (sha256 of the fetched CSV recorded in docs/step0c-hb-ru-market-study-2026-08-18.md)
# RULE: every registrable domain in the top 50000 whose TLD is .ru / .su / .xn--p1ai. Nothing hand-picked, nothing removed.
# This is the UNIVERSE, not the frame. The frame is this file filtered by the probe in the same doc; both the kept and the dropped are published.
rank	domain
16436	pik-service.ru
16437	belregion.ru
16505	urfu.ru
16528	ispringlearn.ru
16549	vaz.ru
16575	citilink.ru
16576	datacloudmail.ru
16598	cainet.ru
16609	timepad.ru
16614	rbk.ru
16640	citrt.ru
16645	matrp.ru
16659	sitesoft.ru
16693	samolet.ru
16705	locum.ru
16715	novatek.ru
16718	kamaz.ru
16735	adminvps.ru
16738	tcsbank.ru
16758	funtime.su
16761	ontvtime.ru
16780	sknt.ru
16825	zsttk.ru
16826	unicredit.ru
16877	randewoo.ru
16883	benzuber.ru
16899	yota.ru
16920	elibrary.ru
16922	rts-tender.ru
16933	arbitr.ru
16940	fcdynamo.ru
16959	sdsys.ru
16971	cdn-cian.ru
17000	sibnet.ru
17003	hts.ru
17051	biisk.ru
17115	marquiz.ru
17161	absolutbank.ru
17169	mts-link.ru
17290	naked-science.ru
17298	obr55.ru
17316	utorria.ru
17323	life.ru
17342	nix.ru
17414	skorozvon.ru
17432	electro-com.ru
17436	mbrd.ru
17442	inventos.ru
17454	pb06e2-resources.ru
17500	relcomhost.ru
17543	seasonvar.ru
17568	goo.su
17580	ilogy.ru
17604	ihead.ru
17665	qwarta.ru
17672	pkb.ru
17691	insalesteam.ru
17706	yarnet.ru
17729	bitmen.ru
17789	rulate.ru
17807	devmail.ru
17829	novofon.ru
17830	101.ru
17844	imedia.ru
17858	fatum.ru
17876	aoglonass.ru
17882	uteka.ru
17883	frontol.ru
17947	cldmail.ru
17974	sportmail.ru
17989	tanksblitz.ru
17993	ostrovok.ru
17997	wink.ru
18041	ufs-online.ru
18053	nox.ru
18066	cpkservice.ru
18074	travelline.ru
18099	soc-club.ru
18100	jut.su
18160	beelinegprs.ru
18201	yaklass.ru
18236	telphin.ru
18249	tektorg.ru
18305	film.ru
18335	regnum.ru
18349	kaspersky.ru
18350	botfaqtor.ru
18359	dixy.ru
18362	optmarketshali.ru
18381	rssi.ru
18391	pik-digital.ru
18411	ras.ru
18422	bashtel.ru
18444	iportal.ru
18470	unicontext.ru
18506	alta.ru
18511	segmento.ru
18515	mchost.ru
18528	r01.ru
18538	comagic.ru
18561	izap24.ru
18580	tatarstan.ru
18620	livemaster.ru
18637	clan.su
18660	mossport.ru
